id,source,keyword,time,comment,score
118,PTT,蝦皮,2023-05-30,我記得我有直接按退貨申訴過,0.000033
119,PTT,蝦皮,2023-05-31,購物前請先檢查賣家評價是基本。,0.001056
120,PTT,蝦皮,2023-06-01,"找蝦皮官方 用安心退直接退",0.000079
121,PTT,蝦皮,2023-05-30,只能說當學個經驗，最好養成內文一定要,0.027859
122,PTT,蝦皮,2023-05-30,價格差那麼多，你也想想怎麼那麼便宜吧,0.001901
123,PTT,蝦皮,2023-05-30,內文包裝上都寫了…是還要多防呆,0.001811
124,PTT,蝦皮,2023-05-30,"謝謝各位意見 我發這篇只是想提醒網友",0.001728
125,PTT,蝦皮,2023-05-30,"我知道自己沒看仔細要自行承擔 價格的",0.000262
126,PTT,蝦皮,2023-05-30,"話蝦皮其他一樣即期品的價格是399 我想",0.005807
127,PTT,蝦皮,2023-05-31,這應該不是日期標示不明顯，應該是短效期,0.000035
128,PTT,蝦皮,2023-05-31,的產品，有些好一點的賣家會在內文一開頭,0.020612
129,PTT,蝦皮,2023-05-31,或是商品選項裡直接放效期，看了你的心得,0.000438
130,PTT,蝦皮,2023-05-31,這家我以後也不會買了，有點不誠實,0.000039
131,PTT,蝦皮,2023-05-29,"缺件沒填過住址+1  也是直接退蝦皮錢包",0.000034
132,PTT,蝦皮,2023-05-29,"沒填過取件人資料 跟賣家確認完後直接去",0.000046
133,PTT,蝦皮,2023-05-29,"同品項多數量如果少寄 蝦皮無法退吧",0.000034
134,PTT,蝦皮,2023-05-30,"是不是弄錯選項? 幾次東西數量錯誤都是",0.000114
135,PTT,蝦皮,2023-05-29,"請問有先聯絡賣家了嗎？ 記得賣家只要",0.000067
136,PTT,蝦皮,2023-05-29,不完成訂單提出退貨就可以直接退款。,0.000033
137,PTT,蝦皮,2023-05-29,缺件退款好幾次，沒遇過要填收件資料,0.000033
138,PTT,蝦皮,2023-05-29,"用部分退款功能 點一點就退到蝦皮錢包了",0.000033
139,PTT,蝦皮,2023-05-30,部分退款要在對話中提到漏寄品項及金額,0.000033
140,PTT,蝦皮,2023-05-30,之後點部分退款客服會去看賣家同意直接退,0.000033
141,PTT,蝦皮,2023-05-30,少寄可以部分退哦，蝦皮退款有兩個選項,0.000033
142,PTT,蝦皮,2023-05-30,，一個是退貨退款，一個是可以自填金額,0.000034
143,PTT,蝦皮,2023-05-30,附上證據後蝦皮會通知賣家，賣家同意,0.000815
144,PTT,蝦皮,2023-05-30,部分退款後就會把錢退到蝦皮錢包,0.000034
145,PTT,蝦皮,2023-05-30,我上次也是丟了一張照片，選賣家缺件，,0.000035
146,PTT,蝦皮,2023-05-30,然後金額就下來了欸，沒有要寫退貨資,0.000033
147,PTT,蝦皮,2023-05-31,"看賣家好不好溝通吧 如果溝通不來安心",0.192717
148,PTT,蝦皮,2023-05-28,店到店嗎？最近真的蠻慢QQ,0.001953
149,PTT,蝦皮,2023-05-29,蝦皮店到店不是最近很慢，是一直都很慢,0.000063
150,PTT,蝦皮,2023-05-29,蝦皮店到店配送都是這種水準，等10天以,0.000367
151,PTT,蝦皮,2023-05-29,我有遇過，那次是包裹破損後來被退回賣,0.000034
152,PTT,蝦皮,2023-05-29,蝦皮店到店只有一次隔天到，其他都3-10天,0.000037
153,PTT,蝦皮,2023-05-29,"蝦皮都要等很久 然後又規定五天內就要",0.000358
154,PTT,蝦皮,2023-05-29,"蝦皮店到店的快跟慢級距很大，快3天 慢則5",0.000397
155,PTT,蝦皮,2023-05-29,"我上上個禮拜遇到這樣 就是丟了 先",0.000037
156,PTT,蝦皮,2023-05-30,蝦皮店到店去年聖誕我等過十天以上給你,0.165167
157,PTT,蝦皮,2023-05-30,"應該是遺失 我用蝦皮店到店一個月內遺",0.000033
158,PTT,蝦皮,2023-05-30,我有同樣狀況，問蝦皮客服後隔兩天馬,0.000033
159,PTT,蝦皮,2023-05-30,"蝦皮店到店的話 代表你收貨店家貨架滿了",0.000432
160,PTT,蝦皮,2023-05-31,店到店很慢，我的已經超過預計抵達時間,0.000084
161,PTT,蝦皮,2023-05-31,"蝦皮店到店效率慢 不急著拿再選",0.001058
162,PTT,蝦皮,2023-05-31,我幾乎都3-5天內收到，所以很常用蝦皮店,0.003616
163,PTT,蝦皮,2023-06-04,等很久才通知遺失了一件包裹,0.000051
164,PTT,蝦皮,2023-05-28,直接問蝦皮客服為什麼卡在理貨中心一個禮拜,0.000033
165,PTT,蝦皮,2023-05-28,不就好了...這種事情只有蝦皮客服能去查詢,0.000037
166,PTT,蝦皮,2023-05-28,最後有很大的機率會遺失包裹，客服,0.000033
167,PTT,蝦皮,2023-05-28,會要你等賣家出貨貨日+10-15天後才,0.000033
168,PTT,蝦皮,2023-05-28,最近等了一個蝦皮10天，太久了已經自己,0.00004
169,PTT,蝦皮,2023-05-28,買了別的，賣家叫我取消直接拒收，蝦皮,0.000033
170,PTT,蝦皮,2023-05-29,直接問客服，通常卡在理貨中心太久,0.000033
171,PTT,蝦皮,2023-05-29,店到店最便宜，一堆人選也造成大塞車,0.002603
172,PTT,蝦皮,2023-05-29,"聯絡客服 肉後還要尋找10-15天才判",0.000033
173,PTT,蝦皮,2023-05-30,"進不去 所以現在店到店改成五天內取貨了",0.000033
174,PTT,蝦皮,2023-05-26,怎麼不先選帳戶付款就能3天付款時間,0.000033
175,PTT,蝦皮,2023-05-26,確定要付款再更改成信用卡付款就好,0.000048
176,PTT,蝦皮,2023-05-26,"以前就一堆人用這招在把券卡著 大概是使",0.000067
177,PTT,蝦皮,2023-05-26,"用者條約有改了 暫時封鎖異常帳號 過一",0.000045
178,PTT,蝦皮,2023-05-27,商城價格當天也會一直變動，有過凌晨下,0.00271
179,PTT,蝦皮,2023-05-27,單付款，早上馬上便宜快1000，這時候取,0.021076
180,PTT,蝦皮,2023-05-27,6小時還沒能決定到底要不要在蝦皮買？,0.000359
181,PTT,蝦皮,2023-05-27,都搶到優惠卷了你有差這一千嗎？,0.000833
182,PTT,蝦皮,2023-05-25,我也看不到499的免運券，請問有人拿到了嗎,0.000707
183,PTT,蝦皮,2023-05-25,"沒看到+1 上幾個月狂買，最近沒什麼想買的",0.000036
184,PTT,蝦皮,2023-05-23,居然還有能確認影像再印的拍立得了，長知,0.000716
185,PTT,蝦皮,2023-05-23,"這很看每個人吧 我就是享受一般拍立得那",0.991833
186,PTT,蝦皮,2023-05-24,我也覺得拍立得是驚喜，不然就跟相機一,0.993931
187,PTT,蝦皮,2023-05-25,"問就是買, BTW日本買差1千",0.000041
188,PTT,蝦皮,2023-05-23,多這個功能多出幾倍價錢，值得與否就看個人,0.991857
189,PTT,蝦皮,2023-05-20,"那就是藥  威而鋼之類成分",0.02492
190,PTT,蝦皮,2023-05-20,"其實很多都違法就看有沒有人檢舉 之前有",0.00239
191,PTT,蝦皮,2023-05-20,"看過簡體字的植物用藥 減肥藥應該也很多",0.998016
192,PTT,蝦皮,2023-05-21,檢舉不一定有用，我曾經檢舉活體販售檢舉,0.002245
193,PTT,蝦皮,2023-05-19,蝦皮把電腦版的功能砍一堆，五月開始連,0.002065
194,PTT,蝦皮,2023-05-19,電腦版太多機器人在搶大額的折價券了，,0.002634
195,PTT,蝦皮,2023-05-21,手機購買麻煩，還是習慣先電腦上選好,0.005211
196,PTT,蝦皮,2023-05-19,"電腦版沒看到"我的"這選項欸",0.003934
197,PTT,蝦皮,2023-05-19,所以電腦的話看不到是嗎@@?,0.002057
198,PTT,蝦皮,2023-05-19,我連我是什麼蝦都找不到(應該是銅蝦),0.000036
