Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
po5566 (po),Re: [心得] 蝦皮神腦非常差的安裝經驗,Fri Apr  8 18:47:41 2022,"剛好最近遇到類似問題，回應一下。當初購買電視後(70吋),是*聯強來安裝。壁掛我是購買好市多的vc6b80。過程有詢問我電視底下要預留的高度，雖然裝好後不太一樣，也就算了。支架附的螺絲也都沒用到。平常也不太會移動電視。最近後面支架螺絲跟牆壁支撐不住，脫落還好人在現場緊急扶住電視。才發現當初安裝的螺絲很短。很無言https://i.imgur.com/jQatCdK.jpghttps://i.imgur.com/LYt0HsD.jpg",推,n74042300,: 靠你這個有夠扯的.......,"['04/08', '19:40']"
,,,,推,bluekren,: 結果後續他們有怎麼處理嗎？,"['04/08', '19:42']"
,,,,推,tomdanny75,: 掉了肯定不會賠,"['04/08', '20:16']"
,,,,推,zidaneeddie,: 有夠扯，但話說壁掛架不是都會附螺絲嗎，沒用嗎,"['04/08', '21:22']"
,,,,推,kevin20541,: 那個螺絲看到快笑死,"['04/08', '21:35']"
,,,,推,rochiou28,: 靠杯==  你跟我說這鎖電腦側板的我都信,"['04/08', '21:39']"
,,,,推,eucaryota,: 螺絲長度差太多了吧，幸好當場有人,"['04/08', '22:22']"
,,,,推,tomjanyan,: 我猜他們應該都幫人裝這種吧，圖方便，不然大尺吋壁掛,"['04/08', '22:23']"
,,,,推,wewaJamesla,: 我個人經驗，只看打孔入牆固定這部份，水電的功夫專,"['04/08', '22:55']"
,,,,推,likeshit,: 超級沒有職業道德,"['04/08', '23:46']"
,,,,推,Alllllogo,: 這也太短...,"['04/09', '02:04']"
,,,,推,ctes940008,: 裝冷氣的比這個專業多了,"['04/09', '02:09']"
,,,,推,tatair,: 超誇張，好險電視有扶住,"['04/09', '05:01']"
,,,,推,notforsale,: 想問有推薦的壁掛廠商嗎？看到網路很多只賣壁掛不安,"['04/09', '07:36']"
,,,,推,nobile,: 很多師傅都是圖個方便，反正幾個月後掉下來，你也很難找,"['04/09', '10:11']"
,,,,推,mixmaster,: 我跟蝦皮一個個人賣家，出貨來源也是神腦，我自己準備,"['04/09', '21:04']"
,,,,推,n74042300,: 樓上那個是買空賣空吧,"['04/10', '00:46']"
,,,,推,machungxi,: 合作廠商真的運氣運氣的，一樣lg我家裝的時候直接說明,"['04/10', '00:48']"
,,,,推,Fz,: 我當初買電視也是自己打洞，說真的沒有很困難 打歪就算了 好,"['04/10', '18:15']"
