Author,Title,Time,Content,Push Tag,Push User ID,Push Content,Push Time
,,,,推,iwei0930,: 美國禁抖音不光是大陸企業的關係 只理解這麼表面的東西,"['02/04', '15:37']"
,,,,推,crook0610,: YT/IG/FB都在做短影片了 實質上就是思辯能力被過多的,"['02/04', '15:40']"
,,,,推,a6dddd,: 裡面很多北七,"['02/04', '15:54']"
,,,,推,darlost,: 會說中國版比較好的抖音粉中毒已深沒救惹,"['02/04', '16:01']"
,,,,推,beiling,: 在抖音toktok軟件中國有留後門，所以有機密外流的風險,"['02/04', '16:02']"
,,,,推,m54k600ive80,: 有的人就只想看看低能弱智的東西,"['02/04', '16:02']"
,,,,推,willow,: 看到吃鎮靜藥挑戰 真的覺得很可怕,"['02/04', '16:23']"
,,,,推,padbear,: 早期YT也是一堆啦 後面只是屁孩換個平台而已,"['02/04', '16:28']"
,,,,推,gm3252,: 抖音要怎麼讓人變智障啦，他頂多幫助這些問題人物交流而已,"['02/04', '16:34']"
,,,,推,Graciepores,: 檢討錯方向了吧？重點不是使用的人？,"['02/04', '16:42']"
,,,,推,ggtest,: 國際板抖音哪來的自由，檢舉影片推文會自由心證認定，他覺,"['02/04', '16:48']"
,,,,推,ggtest,: 百分之99都是美女的影片，莫名其妙跳一個日本侵華的影片出,"['02/04', '17:04']"
,,,,推,ggtest,: 跟他說我祖宗非洲人，中國人的祖宗也是非洲人，就被檢舉刪,"['02/04', '17:11']"
,,,,推,adalee317,: 任何社群平台本來就有好有壞 只是抖音比較....,"['02/04', '18:08']"
,,,,推,Armour13,": 怪平台幹嘛,你這跟塔綠班說要關PTT有啥兩樣","['02/04', '18:12']"
,,,,推,CNSaya,: 推特才該禁 一堆髒東西,"['02/04', '18:28']"
,,,,推,ben1013,: 抖音一響,"['02/04', '18:29']"
,,,,推,a524528,: 抖音就是影音平台的未來，跟中國就是世界的未來一樣,"['02/04', '18:31']"
,,,,推,shoinchang,: 美國就是嫉妒中國進步太快 想要維持大國地位 才從華,"['02/04', '18:34']"
,,,,推,eric112,: 重點是抖音完全被共匪控制，叫他做什麼他就照做,"['02/04', '18:36']"
,,,,推,a524528,: 中國已經慢慢攻佔世界的娛樂了，目前就是抖音跟原神,"['02/04', '18:39']"
,,,,推,laurie0116,: 抖音這種短影音會造成孩童注意力無法長時間集中，上,"['02/04', '18:42']"
,,,,推,Nemophila,: 這種東西不是因 他只是果 試想我們串流媒體上一堆這樣,"['02/04', '18:45']"
,,,,推,a0958973226,: 使用者智障能算在平台上嗎,"['02/04', '19:18']"
,,,,推,Wwc0130,: 你不用抖音 IG YT不也一堆短影片,"['02/04', '20:22']"
,,,,推,cully,: 抖音很好啊，短視頻確實看的很舒服，世界下載量第一的APP,"['02/04', '20:57']"
,,,,推,Jameshunter,: 不就老高這種的更進化模式,"['02/04', '21:39']"
,,,,推,nenini,: 演算法蠻強的，滑到的幾乎都是會想看的影片，而且非常順暢,"['02/04', '22:41']"
,,,,推,nenini,: 有時候還會滑到歐美中東的東西，會有種開眼界原來世界另一,"['02/04', '22:42']"
,,,,推,wusiuwei,: 該禁了，民進黨會輸就是我都給你全部的權利了，結果你,"['02/04', '23:16']"
,,,,推,a80568911,: 自信點 把吧拿掉,"['02/04', '23:35']"
,,,,推,kamelol,: 短影片真的不好，慣性成癮、耐性不足、注意力分散、思考,"['02/04', '23:45']"
,,,,推,Merkle,: 記得入党繳党費,"['02/05', '02:48']"
,,,,推,CriminalCAO,: yt shorts也是一堆智障支片，最好不要給小孩子看,"['02/05', '14:56']"
,,,,推,shathy,: 我會看抖音但我都看食譜美妝穿搭教學而已，重點真的是看,"['02/06', '11:13']"
,,,,→,mason710,: 去看看陸版抖音，講錯話馬上封號3天，露奶溝封24hr，犯,"['02/04', '14:11']"
,,,,→,mason710,: 罪直接號沒了,"['02/04', '14:11']"
,,,,→,mlsini,: 美國那一直想收購 至於文化危害哪平台都有 照你說的沒抖音,"['02/04', '14:11']"
,,,,→,mlsini,: 也是會其他平台看到,"['02/04', '14:12']"
,,,,→,mlsini,: 因為他是美國阿 他可以你不行啊 端看你立場XD,"['02/04', '14:14']"
,,,,→,Nemophila,: 太構思內容 觀看者也不會太思考 跟平台哪家沒關係 任,"['02/04', '14:21']"
,,,,→,Nemophila,: 何能取代抖音的平台應該都會帶來一樣的影響,"['02/04', '14:21']"
,,,,→,jameshcm,: 抖音一響，父母白養,"['02/04', '14:25']"
,,,,→,realmd,: 還是你認為壽司郎事件之前都沒人作，他是第一個?,"['02/04', '14:34']"
,,,,→,BorgTuttle,: 但我覺得陸版抖音比較好看欸,"['02/04', '14:41']"
,,,,→,easonli000,: 自己小孩養歪了怪社群媒體,"['02/04', '15:03']"
,,,,→,sdamel,: 母毒打一頓嗎,"['02/04', '15:36']"
,,,,→,iwei0930,:  可憐,"['02/04', '15:37']"
,,,,→,crook0610,: 資訊洗壞了,"['02/04', '15:40']"
,,,,→,damm,: 三段的邏輯根本風馬牛不相及,"['02/04', '15:47']"
,,,,→,xulu0,: 到現在還是不會想看抖音耶...,"['02/04', '15:54']"
,,,,→,penny841028,: 以前YouTube上面也一堆危險、不道德、噁心的影片也,"['02/04', '15:56']"
,,,,→,penny841028,: 沒見美國說他有危害要禁,"['02/04', '15:56']"
,,,,→,beiling,: 更正tiktok,"['02/04', '16:03']"
,,,,→,brucefang,: YT也開始推廣短影音，也該禁囉,"['02/04', '16:20']"
,,,,→,brucefang,: FB、YT、抖音、推特、IG都是亂源,"['02/04', '16:21']"
,,,,→,ilanalan,: 低能的事從古至今一直都有好嗎,"['02/04', '16:28']"
,,,,→,padbear,: 這是網路世代的問題 不是只有抖音單一平台的問題,"['02/04', '16:29']"
,,,,→,gm3252,: 你也可以拿抖音來教微積分啊,"['02/04', '16:35']"
,,,,→,sunny95988,: 果然是綠蛆...就像投國民黨就是賣台,"['02/04', '16:44']"
,,,,→,ggtest,: 的ok的他會只封你帳號讓你看不到，他覺的不ok的才會刪掉推,"['02/04', '16:48']"
,,,,→,ggtest,: 文，而且標準很奇怪，罵狗罵畜生的沒事，講一下中國人祖宗,"['02/04', '16:48']"
,,,,→,ggtest,: 怎樣就馬上刪掉,"['02/04', '16:48']"
,,,,→,ggtest,: 中國人在上面罵台灣狗罵日本畜生，你檢舉，他只會封鎖你帳,"['02/04', '16:51']"
,,,,→,ggtest,: 號，讓你看不到，講一下中國祖宗怎樣，被中國人檢舉馬上刪,"['02/04', '16:51']"
,,,,→,ggtest,: 掉那則推文,"['02/04', '16:51']"
,,,,→,jay401401,: 用的人的問題 你喜歡看什麼演算法就給你推什麼,"['02/04', '16:59']"
